partner_id	gene_symbol	uniprot_id	entrez_id	ensembl_id
3273	obg	P20964	N/A	N/A
3274	hcp	Q01770	N/A	N/A
3278	cat	P62580	N/A	N/A
3281	iadA	P39377	N/A	N/A
3284	nirS	P72181	N/A	N/A
3287	chbB	P69795	N/A	N/A
3289	bglA	P22073	N/A	N/A
3291	cycA	P04164	N/A	N/A
3292	dadX	Q9HTQ2	N/A	N/A
3293	N/A	P00322	N/A	N/A
3296	NMNAT1	Q9HAN9	64802	ENSG00000173614
3298	bglA	Q08638	N/A	N/A
3299	4	P03692	N/A	N/A
3300	xpt	P42085	N/A	N/A
3301	ftsZ	O08398	N/A	N/A
3302	folE	P0A6T8	N/A	N/A
3303	EEA1	Q15075	8411	ENSG00000102189
3305	cobH	P21638	N/A	N/A
3307	acrB	P31224	N/A	N/A
3309	pfkA	P00512	N/A	N/A
3310	aroD	P24670	N/A	N/A
3311	A103R	Q84424	N/A	N/A
3312	FABP7	O15540	2173	ENSG00000164434
3315	panB	Q9JZW6	N/A	N/A
3317	acpS	P96618	N/A	N/A
3318	CLK1	P49759	1195	ENSG00000013441
3319	HAGH	Q16775	3029	ENSG00000063854
3320	CASP7	P55210	840	ENSG00000165806
3321	CRK2	Q07785	N/A	N/A
3323	purA	Q83P33	N/A	N/A
3325	fabA	P0A6Q5	N/A	N/A
3329	trpS2	Q9RVD6	N/A	N/A
3330	N/A	P46881	N/A	N/A
3333	NMNAT3	Q96T66	349565	ENSG00000163864
3334	cefE	P18548	N/A	N/A
3335	engB	P38424	N/A	N/A
3336	dctD	P13632	N/A	N/A
3339	ppc	P00864	N/A	N/A
3342	glyA	P0A827	N/A	N/A
3344	ispD	Q9X1B3	N/A	N/A
3346	CFD	P00746	1675	ENSG00000197766
3351	ncsA	P0A3S0	N/A	N/A
3352	N/A	P03316	N/A	N/A
3354	RAP2A	P10114	5911	ENSG00000125249
3356	lysA	P00861	N/A	N/A
3361	SERPINB5	P36952	5268	ENSG00000206075
3364	atpE	P21905	N/A	N/A
3365	spoII	P36924	N/A	N/A
3366	der	Q9X1F8	N/A	N/A
3367	algD	P11759	N/A	N/A
3375	N/A	P94690	N/A	N/A
3379	KIF11	P52732	3832	ENSG00000138160
3381	N/A	P42328	N/A	N/A
3382	GLTP	Q9NZD2	51228	ENSG00000139433
3384	MIF	P14174	4282	ENSG00000240972
3387	mvaA	P13702	N/A	N/A
3388	aroQ	P0A4Z6	N/A	N/A
3390	aphA	P0A3Y5	N/A	N/A
3391	pbsA1	P72849	N/A	N/A
3392	hisS	P56194	N/A	N/A
3393	TGFBR2	P37173	7048	ENSG00000163513
3394	codA	P25524	N/A	N/A
3395	fecA	P13036	N/A	N/A
3396	tufA	Q83JC4	N/A	N/A
3399	limA	Q9ZAG3	N/A	N/A
3401	N/A	P17584	N/A	N/A
3402	treR	P36673	N/A	N/A
3403	pbpX	P59676	N/A	N/A
3404	eta	P11439	N/A	N/A
3405	qheDH	Q46444	N/A	N/A
3406	astB	P76216	N/A	N/A
3408	B3GAT3	O94766	26229	ENSG00000149541
3411	cyp121	P0A514	N/A	N/A
3415	argI	P04391	N/A	N/A
3416	arsC	P0A006	N/A	N/A
3417	tpiA	P00943	N/A	N/A
3419	rhaD	P32169	N/A	N/A
3421	thiM	P39593	N/A	N/A
3422	rhaA	P32170	N/A	N/A
3424	pah	P37819	N/A	N/A
3426	glnA	P0A1P6	N/A	N/A
3428	clcA	Q8ZRP8	N/A	N/A
3430	tdk	Q9PPP5	N/A	N/A
3432	bmrR	P39075	N/A	N/A
3435	arsA	P08690	N/A	N/A
3437	CLC	Q05315	1178	ENSG00000105205
3439	gmhA	Q9HVZ0	N/A	N/A
3443	tpiA	P50921	N/A	N/A
3444	N/A	P81180	N/A	N/A
3445	mdh	Q9ZF99	N/A	N/A
3446	adh	P14941	N/A	N/A
3448	TBXAS1	P24557	6916	ENSG00000059377
3450	ppdK	P22983	N/A	N/A
3452	TP_0574	P29723	N/A	N/A
3453	phoA	P00634	N/A	N/A
3454	estA	P22266	N/A	N/A
3456	HSP90AB1	P08238	3326	ENSG00000096384
3457	frc	P69903	N/A	N/A
3458	cysI	P17846	N/A	N/A
3461	galE	P09147	N/A	N/A
3462	ABL	P00521	N/A	N/A
3463	fcl	P32055	N/A	N/A
3466	pbp	P07944	N/A	N/A
3467	mgsA	P0A733	N/A	N/A
3470	MPN_348	P75430	N/A	N/A
3471	gag-pro-pol	Q04095	N/A	N/A
3472	pta	P39646	N/A	N/A
3473	CTSL2	O60911	1515	ENSG00000136943
3478	rmlA	P26393	N/A	N/A
3480	manA	P49424	N/A	N/A
3481	rmlA2	P61888	N/A	N/A
3482	CDK7	P50613	1022	ENSG00000134058
3486	fumC	P05042	N/A	N/A
3488	cmoA	P43985	N/A	N/A
3489	acs	Q8ZKF6	N/A	N/A
3490	rsbQ	O07015	N/A	N/A
3496	UL2	P10186	N/A	N/A
3497	rph	P50597	N/A	N/A
3500	yicI	P31434	N/A	N/A
3506	GCDH	Q92947	2639	ENSG00000105607
3507	aroC	P0A2Y7	N/A	N/A
3508	thrS	Q8NW68	N/A	N/A
3511	RNASE4	P34096	6038	ENSG00000181784
3512	ung	Q8X444	N/A	N/A
3514	GNLY	P22749	10578	ENSG00000115523
3515	aroE	P15770	N/A	N/A
3516	pyrB	P0A789	N/A	N/A
3518	TK	P24425	N/A	N/A
3519	NA	P03474	N/A	N/A
3520	tolC	P02930	N/A	N/A
3522	tmk	P0A721	N/A	N/A
3523	spsA	P39621	N/A	N/A
3524	bgt	P04547	N/A	N/A
3525	NUDT9	Q9BW91	53343	ENSG00000170502
3526	pcp	P42790	N/A	N/A
3527	rhdA	P52197	N/A	N/A
3529	ISG20	Q96AZ6	3669	ENSG00000172183
3530	lacY	P02920	N/A	N/A
3538	rbsB	P02925	N/A	N/A
3539	citA	P52687	N/A	N/A
3541	rbsD	P36946	N/A	N/A
3543	coaD	Q72K87	N/A	N/A
3544	folA	P0A546	N/A	N/A
3545	N/A	P30901	N/A	N/A
3546	nedA	Q02834	N/A	N/A
3547	entB	P01552	N/A	N/A
3550	argB	Q9HTN2	N/A	N/A
3552	topA	P06612	N/A	N/A
3553	acnB	P36683	N/A	N/A
3558	N/A	P04377	N/A	N/A
3560	aacC1	P23181	N/A	N/A
3562	N/A	P14262	N/A	N/A
3564	pyrF	P25971	N/A	N/A
3567	coaD	Q9WZK0	N/A	N/A
3569	BVRF2	P03234	N/A	N/A
3570	cypC	O31440	N/A	N/A
3573	fadH	P42593	N/A	N/A
3574	tyrS	P83453	N/A	N/A
3575	upp	Q5KUI3	N/A	N/A
3577	hlgB	P0A076	N/A	N/A
3578	crcA	P37001	N/A	N/A
3583	pgl	Q9X0N8	N/A	N/A
3586	thyA1	P42326	N/A	N/A
3587	FABP6	P51161	2172	ENSG00000170231
3590	alpha-LP	P00778	N/A	N/A
3594	phr	P61497	N/A	N/A
3596	1	P04531	N/A	N/A
3598	rfbD	P26392	N/A	N/A
3599	PRDX2	P32119	7001	ENSG00000167815
3600	upp	Q9WZI0	N/A	N/A
3601	folP1	P0A578	N/A	N/A
3602	spoIIAA	O32723	N/A	N/A
3603	clcA	O67987	N/A	N/A
3605	nuc	P00644	N/A	N/A
3609	HN	P32884	N/A	N/A
3610	TXNRD1	Q16881	7296	ENSG00000198431
3611	cdd	P19079	N/A	N/A
3613	hemB	Q59334	N/A	N/A
3614	pip	O32449	N/A	N/A
3615	dapB	P72024	N/A	N/A
3616	FABP5	Q01469	2171	ENSG00000164687
3617	cpo	O31158	N/A	N/A
3618	dapB	P04036	N/A	N/A
3623	cutA	P69488	N/A	N/A
3625	katA	P42321	N/A	N/A
3626	pdaA	O34928	N/A	N/A
3627	yedY	Q8XB74	N/A	N/A
3628	N/A	P09592	N/A	N/A
3629	N/A	Q04830	N/A	N/A
3633	R	P03706	N/A	N/A
3637	cagA	Q06110	N/A	N/A
3639	deoA	P07650	N/A	N/A
3668	malE	P0AEX9	N/A	N/A
3669	rbsK	P0A9J6	N/A	N/A
3670	cybC	P0ABE7	N/A	N/A
3671	hdhA	P0AET8	N/A	N/A
3672	hasB	P0C0F4	N/A	N/A
3673	fccA	P0C278	N/A	N/A
3674	hemB	P0ACB2	N/A	N/A
3675	aceE	P0AFG8	N/A	N/A
3676	aroG	P0AB91	N/A	N/A
3677	mepA	P0C0T5	N/A	N/A
3678	fabI	P0AEK4	N/A	N/A
3679	mtnN	P0AF12	N/A	N/A
3680	pyrDA	Q53ZE5	N/A	N/A
3681	gpt	P0A9M5	N/A	N/A
3682	folA	P0ABQ4	N/A	N/A
3683	deoD	P0ABP8	N/A	N/A
3684	map	P0AE18	N/A	N/A
3685	crp	P0ACJ8	N/A	N/A
3686	tesA	P0ADA1	N/A	N/A
3687	bla	P0AD63	N/A	N/A
3688	ilvE	P0AB80	N/A	N/A
3689	celA	P0C2S2	N/A	N/A
3690	aphA	P0AE22	N/A	N/A
3691	slt	P0AGC3	N/A	N/A
3692	coaBC	P0ABQ0	N/A	N/A
3693	fbaA	P0AB71	N/A	N/A
3694	pstS	P0AG82	N/A	N/A
3695	cheY	P0AE67	N/A	N/A
3696	speB	P0C0J0	N/A	N/A
3697	glmU	P0ACC7	N/A	N/A
3699	amn	P0AE12	N/A	N/A
3700	nrfA	P0ABK9	N/A	N/A
3701	bla	P0A9Z7	N/A	N/A
3702	atpF	P0ABA0	N/A	N/A
3703	tyrS	P0AGJ9	N/A	N/A
3704	potD	P0AFK9	N/A	N/A
3705	fucA	P0AB87	N/A	N/A
3706	rsuA	P0AA43	N/A	N/A
